店铺名称,商户名称,合同ID (采购合同编号),上线时间,区/县,商圈,店铺电话,店铺面积,店铺位置,详细地址,手机 (商户名称),创建时间,采购合同编号,主要联系人 (商户),电话 (商户),cmid
HK形象设计典范,深圳市龙华新区观澜健华艺理发店,4.40306E+17,2015/1/8,龙华新区,观澜,0755-28233650,100m2以上,社区,深圳市龙华新区观澜街道桂花步行街,13715339921,2015/1/4 20:09,SZ-LG-201400636,叶雄生,,450
ICS艺轩,深圳市龙岗区六约艺轩美容美发店,4.40307E+17,2015/1/8,龙岗区,横岗,0755-89352789,100m2以上,其他,深圳市龙岗区横岗镇信义锦绣花园3号楼S105商铺,13682500978,2015/1/4 16:54,SZ-LG-201400679,徐玉波,,506
I美丽发社,深圳市龙岗区I美丽理发店,4.40307E+17,2015/1/8,龙岗区,坪山,13554856306,,社区,深圳市龙岗区龙岗街道南联社区罗瑞合瑞同路1巷4号,13554856306,2015/1/4 20:22,SZ-BA-201400768,刘传谣,,532
JS salon,深圳市南山区杰森造型沙龙美发店,2.01506E+17,,南山区,海岸城,13537658385,,,深圳市南山区粤海街道文星五路海岸城东座235号,13537658385,2015/6/29 14:14,SZ-NS-2015001106,张武,,882
KK发艺,深圳市宝安区福永徐红平理发店,4.40306E+17,2015/1/8,宝安区,福永,0755-29062912,100m2以上,社区,深圳市宝安区福永街道塘尾社区十二区南十二巷1号第一层103铺,13728679601,2015/1/3 21:55,SZ-BA-201400625,徐红平,,513
LOOK路客（清湖店）,深圳市宝安区龙华鑫路客理发店,4.40308E+17,2015/6/9,龙华新区,清湖,13760286378,100m2以上,社区,广东省深圳市龙华新区清湖东村一巷十号,13760286378,2015/6/9 10:43,SZ-NS-201500785,许凯,,838
OK-100,深圳市宝安区石岩华隆发室,4.40306E+17,2015/1/8,宝安区,石岩,0755-27651051,100m2以上,,深圳市宝安区石岩街道浪心径塘路宏发工业园(宏发电子厂)1楼5号,13670003344,2015/1/5 19:56,SZ-LG-201400654,万焕均,,600
Show发沙龙,深圳市宝安区新安演艺发理发店,4.49999E+17,,宝安区,新安,0755-36934005,,,深圳市宝安区建安一路338-2号,13590329741,2015/6/3 10:45,SZ-NS-201500165,,,809
SK（东乐店）,深圳市罗湖区丝卡美发店,4.40303E+17,2015/1/8,罗湖区,布心,0755-25410789,60-100m2,社区,深圳市罗湖区东乐花园乐康楼103号,18682332898,2014/12/23 19:50,SZ-LH-201400394,郑文淦,,233
sk国际烫染中心,深圳市南山区至尊烫染店,4.40305E+17,2015/1/8,南山区,西丽,0755-86180243,100m2以上,社区,深圳市南山区西丽镇丽煌大厦首层铺位第五间（天虹商场后侧200米）,18938903993,2014/12/10 15:00,SZ-NS-201400062,刘建波,,68
SK美发沙龙,深圳市罗湖区丝卡美发店,4.40303E+17,2015/1/8,罗湖区,东湖,0755-22651940,100m2以上,社区,深圳市罗湖区爱国路水库新村282号统建楼地下1号商铺106号,15813807599,2014/12/25 18:21,SZ-LH-201400396,谭钢虎,,314
SO发艺,深圳市福田区非常发艺美发店,4.40304E+17,2015/6/4,福田区,新洲,0755-82772772,,,深圳市福田区新洲牌坊街101-1号,18676665603,2015/6/4 19:48,SZ-NS-201500598,李振华,,822
STAR hair club,深圳市星美业艺术有限公司,4.40306E+17,2015/1/8,龙华新区,梅林关口,0755-29364678,100m2以上,商业区,深圳市龙华新区上河坊购物乐园首层115号,13510199089,2014/12/25 16:32,SZ-BA-201400569,吴世松,,295
stylists丝路,深圳市福田区丝路发型创作室,4.40304E+17,2015/1/8,福田区,香蜜湖,0755-83140883,100m2以上,社区,福田区莲花路与景田路交汇的妇儿大厦主楼首层东侧,13925231777,2014/12/16 11:18,SZ-FT-201400201,刘芳,13925231777,106
sunshine阳光美业,深圳市龙华新区民治阳光美发造型美发店,4.40308E+17,2015/6/1,龙华新区,民治,0755-36632460,,,深圳市龙华民治新区民塘路七里香榭35号（沃尔玛对面）,13421353476,2015/6/1 18:06,SZ-NS-201500664,刘玉,,816
TONI＆CUT 凤凰店 汤尼印象,深圳市索玛美发形象设计店,4.40303E+17,2015/1/8,罗湖区,黄贝岭,0755-22370983,100m2以上,商业区,深圳市罗湖区凤凰路京基凤凰印象二楼15号,13302920290,2014/12/23 20:25,SZ-BA-201400490,,,289
TONI＆CUT 嘉多利店 汤尼印象,深圳市索玛美发形象设计店,*,2015/4/7,罗湖区,田贝,0755-25837557,,社区,深圳市罗湖区田贝二路96号（嘉多利花园对面）,13302920290,2015/4/7 18:01,SZ-TZ-20150003,郑显石,,782
TONI＆CUT 南湾店 汤尼印象,深圳市索玛美发形象设计店,4.40303E+17,2015/1/8,龙岗区,布吉,0755-84503341,100m2以上,商业区,深圳市龙岗区布吉南湾樟树布万科公园里首层A-01,13302920290,2014/12/23 20:17,SZ-BA-201400490,,,237
TONI＆CUT 水贝店 汤尼印象,深圳市索玛美发形象设计店,4.40303E+17,2015/1/8,罗湖区,田贝,0755-25782359,100m2以上,社区,深圳市罗湖区翠竹太安路180号,13302920290,2014/12/23 19:59,SZ-BA-201400490,郑显石,,288
TONI＆CUT 田贝店 汤尼印象,深圳市索玛美发形象设计店,4.40303E+17,2015/1/8,罗湖区,翠竹,0755-25539353,100m2以上,商业区,深圳市罗湖区田贝二路70号,13302920290,2014/12/23 20:07,SZ-BA-201400490,,,235
T派发型工作室,深圳市龙华新区梯派发型工作室,2.01507E+17,,龙华新区,民治,13590330049,,商业区,深圳市龙华新区民治街道民乐社区书香门第第八栋五号B,13590330049,2015/7/9 15:02,SZ-NS-2015001220,王钦涛,,897
T派工作室,深圳市龙华新区民治踢派发型工作室,4.40306E+17,2015/1/8,龙华新区,民治,0755-29304665,60-100m2,社区,深圳市龙华新区民治街道民塘路万科金域华府2期19号,13590330048,2014/12/25 14:01,SZ-BA-201400615,王钦勇,,278
V.Salon大学城店,深圳市南山区唯沙龙发型设计名店,4.40305E+17,2015/1/8,南山区,西丽,0755-86325118,,,深圳市南山区大学城西平山路北桑泰丹华园二期141,18129811086,2015/1/13 20:11,SZ-BA-201400583,敖磊,,662
V.Salon高职院店,深圳市南山区唯沙龙发型设计名店,4.40305E+17,2015/1/8,南山区,西丽,0755-86200200,100m2以上,,深圳市南山区新围村227号101,18129811086,2015/1/13 20:06,SZ-BA-201400583,敖磊,,664
VS沙宣 （塘朗店）,深圳市南山区美萱美发店,--,,南山区,西丽,13724388170,,,深圳市南山区塘朗塘兴路43-12（近塘朗步行街）,18682185598,2015/5/11 14:49,SZ-NS-20150049,张国文,,786
VS沙宣（旺棠店）,深圳市南山区美萱美发店,4.40305E+17,2015/1/8,南山区,西丽,0755-86559551,100m2以上,商业区,南山区西丽旺棠工业区11栋18号,18682185598,2014/12/9 15:02,SZ-NS-201400088,张国文,,33
VS沙宣（阳光工业区店）,深圳市南山区宣宣理发店,2.01507E+17,,南山区,西丽,13827409353,,,深圳市南山区西丽街道阳光工业区翻身路7-8号,13827409353,2015/7/17 13:53,SZ-NS-2015001204,明月,,924
win时尚美发造型,深圳市赢时尚美发有限公司,4.40306E+17,2015/1/8,宝安区,西乡,0755-23067127,100m2以上,商业区,深圳市宝安区西乡街道宝源路与海城路交汇处泰丰广场A栋F508,18610731725,2014/12/23 17:20,SZ-BA-201400519,麦桂荣,,213
With HERE′S,深圳市颢丝形象设计管理有限公司,4.40305E+17,2015/1/8,南山区,海岸城,0755-86271538,100m2以上,商业区,深圳市南山区文心五路33号海岸城购物中心4楼425号,15052432981,2014/12/9 17:14,SZ-NS-201400071,王福珍,15052432981,43
Y·S造型,深圳市罗湖区亿术理发店,2.01507E+17,,罗湖区,东门,13418901115,,,深圳市罗湖区湖贝新村175栋102号,13418901115,2015/7/28 14:37,SZ-NS-2015001687,王元富,,976
阿宝发艺,深圳市宝安区福永壹时尚阿宝发艺店,4.40306E+17,2015/6/4,宝安区,福永,13613084842,100m2以上,社区,深圳市宝安区福永街道白石厦社区石龙头四巷4号,13613084842,2015/6/4 19:35,SZ-NS-201500408,吴德勇,,827
阿芙洛发发型工作室,深圳市南山区阿芙洛发发型工作室,4.40305E+17,2015/1/8,南山区,华侨城,0755-26607553,60-100m2,社区,深圳市南山区华侨城中新街25栋103,13670181055,2014/12/9 16:00,SZ-NS-201400099,张德彬,13670181055,40
阿玛尼南油美容美发（南山店）,深圳市南山区阿玛尼南油美容美发店,4.40305E+17,2015/1/8,南山区,南油,0755-86057072,100m2以上,其他,深圳市南山区东滨路与南海大道交汇处商铺A7,13380397097,2014/12/9 17:31,SZ-NS-201400146,邓三三,,44
埃米莉美发店,深圳市罗湖区埃米莉美发中心,4.40303E+17,2015/1/8,罗湖区,东门,0755-82397150,100m2以上,商业区,深圳市罗湖区人民北路1006号2楼,13622312781,2014/12/18 14:12,SZ-LH-201400208,蔡志伟,,153
艾尔比美发店,深圳市南山区艾尔比美发店,4.40305E+17,2015/1/8,南山区,海岸城,0755-86287301,60-100m2,商业区,深圳市南山区海德二道33号A1-19,15999580914,2014/12/16 15:05,SZ-NS-20140148,卞东东,,121
艾克瑞斯沙龙,深圳市艾克瑞斯美容美发有限公司,4.40304E+17,2015/1/8,福田区,CBD中心区,0755-23821191,100m2以上,商业区,深圳市福田区中心5路18号星河中心商场,13823248646,2014/12/16 13:42,SZ-FT-20140206,刘林,,109
艾玛造型,深圳市南山区艾玛美发店,4.40305E+17,2015/1/8,南山区,蛇口,0755-26698748,100m2以上,社区,深圳市南山区蛇口工业八路花园城三期4栋106铺,18676788586,2014/12/18 15:20,SZ-NS-201400131,宋阳,,160
艾美丽都美发店,深圳市南山区艾美丽都美发店,4.40305E+17,2015/1/8,南山区,前海,18682033068,60-100m2,社区,深圳市南山区南头街道前海路大新新村55栋一楼-1,18682033068,2014/12/10 12:38,SZ-NS-201400076,黄露,,58
艾尚护肤造型,深圳市爱阳光投资发展有限公司,4.40304E+17,2015/1/8,龙岗区,布吉,0755-89379467,,,深圳市龙岗区南湾街道樟树布万福佳超市1楼5号,13823566819,2014/12/25 15:51,SZ-BA-201400739,陈柏祥,,293
艾尚尼（公明店）,深圳市光明新区公明艾尚尼美容美发店,4.40306E+17,2015/1/8,宝安区,公明,0755-36937286,100m2以上,商业区,深圳市公明办事处迎宾路8号（公明天虹后门）,13434434680,2014/12/25 15:24,SZ-BA-201400536,,,291
艾尚尼（龙华店）,深圳市光明新区公明艾尚尼美容美发店,4.40306E+17,2015/1/8,龙华新区,龙华,0755-85276012,100m2以上,商业区,深圳市龙华新区龙华车站帝龙城旁新丽豪一楼,13434434680,2014/12/25 15:17,SZ-BA-201400536,黄大军,13434434680,290
艾斯专业沙龙,深圳市宝安区西乡艾斯美发沙龙,2.01507E+17,,宝安区,西乡,0755-27790090,,,深圳市宝安区西乡街道新湖路海湾明珠2-114,13480928217,2015/7/31 17:23,SZ-NS-2015001596,范海源,,"1,013"
爱马仕尚品（福田区）,深圳市尚御堂美容有限公司,4.40305E+17,2015/1/8,福田区,八卦岭,0755-82426303,100m2以上,社区,深圳市福田区八卦路10号与二路交汇处,18638279723,2014/12/8 15:21,SZ-NS-201400096,沈素琴,,17
爱马仕尚品（南山店）,深圳市尚御堂美容有限公司,4.40305E+17,2015/1/8,南山区,蛇口,0755-26827519,100m2以上,社区,深圳市南山区工业八路132号,18638279723,2014/12/8 15:19,SZ-NS-201400096,沈素琴,,16
爱美·美容美发（宝源新村店）,深圳市宝安区西乡爱美秀理发店,4.40306E+17,2015/1/8,宝安区,西乡,0755-29708683,60-100m2,社区,深圳市宝安区西乡街道劳动社区劳动路66号,13828871238,2014/12/25 15:13,SZ-BA-201400477,王伟,,284
爱美·美容美发（天骄世家店）,深圳市宝安区西乡星豪名店理发店,4.40306E+17,2015/1/8,宝安区,西乡,0755-29703507,,社区,深圳市宝安区76区锦花路天骄世家1栋102商铺,18772776668,2015/1/5 17:54,SZ-LG-201400643,王伟,0755-29703507,589
爱祺艺,深圳市爱祺艺美容美发管理有限公司,2.01506E+17,,南山区,蛇口,15920000067,,,深圳市南山区中心路曦湾华府A6,15920000067,2015/6/29 16:12,SZ-NS-2015001124,李振方,,"1,003"
爱尚,深圳市爱尚美发型连锁,2.01506E+17,2015/6/17,罗湖区,笋岗,13420939777,60-100m2,社区,广东省深圳市罗湖区田心村19栋1号,13420939777,2015/6/17 13:49,SZ-NS-201500594,王贺,,880
爱尚美,深圳市宝安区观澜王子美发店,4.40306E+17,2015/6/1,龙华新区,观澜,13480826585,,,深圳市宝安区观澜章阁社区综合楼一楼02号,13480826585,2015/6/1 18:49,SZ-NS-201500663,王瑞堂,,815
爱阳光护肤造型,深圳市爱阳光投资发展有限公司,4.40304E+17,2015/1/8,福田区,石厦,0755-83468052,,社区,深圳市福田区石厦北三街居座传奇16号,13823566819,2014/12/25 15:44,SZ-BA-201400739,陈柏祥,,292
安佐形象设计（太子山庄店）,深圳市安佐形象设计有限公司,4.40305E+17,2015/1/8,南山区,后海,0755-26966649,100m2以上,社区,深圳市南山区前海路太子山庄小区,13686814099,2014/12/9 13:53,SZ-NS-201400133,何思敏,,27
安佐形象设计有限公司,深圳市安佐形象设计有限公司,4.40305E+17,2015/1/8,南山区,后海,0755-86320397,100m2以上,社区,深圳市南山区南光路龙佳园113号,13686814099,2014/12/9 13:57,SZ-NS-201400133,何思敏,,28
傲美美发名店（金地梅龙镇店）,深圳市宝安区龙华傲美理发店,4.40306E+17,2015/1/8,龙华新区,民治,0755-29555951,100m2以上,社区,深圳市龙华新区民治梅龙路金地梅龙镇E38,13509667886,2015/1/5 23:25,SZ-BA-201400623,,,480
傲美美发名店（锦绣江南店）,深圳市宝安区龙华傲美理发店,4.40306E+17,2015/1/8,龙华新区,民治,0755-81789282,100m2以上,商业区,深圳市龙华新区龙华人民北路锦绣江南三期,13509667886,2015/1/5 23:20,SZ-BA-201400623,陈洪兴,,479
傲美美发名店（油松店）,深圳市宝安区龙华傲美理发店,4.40306E+17,2015/1/8,龙华新区,民治,0755-23116667,100m2以上,社区,深圳市龙华新区龙华东环一路与梅龙大道交叉口喜马拉雅酒店一楼,13509667886,2015/1/5 22:28,SZ-BA-201400623,陈洪兴,,478
傲丝卡美发,深圳市宝安区新安傲丝卡美发店,4.40306E+17,2015/1/8,宝安区,新安,0755-27592049,100m2以上,商业区,深圳市宝安区新安街道44区新乐街2号(铺4号)二楼201,13590231897,2015/1/5 14:42,SZ-BA-201400460,杨宏,,559
奥琪造型美发店,深圳市宝安区新安奥琪造型美发店,4.40306E+17,2015/1/8,宝安区,新安,0755-32895740,100m2以上,商业区,深圳市宝安区48区新安街道海华社区川安路36号,13418491506,2014/12/25 18:31,SZ-BA-201400738,裴广春,,316
奥丝造型,深圳市福田区奥丝奇造型理发店,2.01507E+17,,福田区,沙尾,13425123865,,,深圳市福田区沙咀三坊17、18号103,13425123865,2015/7/31 14:52,SZ-NS-2015001021,李威,,"1,004"
奥斯堡美发中心,深圳市罗湖区奥斯堡美发中心,4.40303E+17,2015/1/8,罗湖区,笋岗,0755-22367656,100m2以上,社区,深圳市罗湖区笋岗新村62栋101,13543258894,2014/12/18 16:32,SZ-LH-201400390,易善军,,173
奥艺丝概沙龙,深圳市罗湖区奥艺丝概美发店,2.01507E+17,,罗湖区,国贸,13923858734,,,深圳市罗湖区和平路船务街5号,13923858734,2015/7/20 17:47,SZ--2015001390,赵勇,,968
八零造型,深圳市坪山新区八零造型美发店,4.40307E+17,2015/1/8,龙岗区,坪山,0755-33298027,100m2以上,社区,深圳市坪山新区坪山办事处坪山社区立新西路20号,13691983722,2014/12/27 17:40,SZ-BA-201400543,田红明,,387
